ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
1,18.474893,77.389684,4.1,-47.3,6.41,2.3,Negativno,Ne
2,18.479019,77.393772,10.7,-40.7,7.69,5.56,Negativno,Ne
3,18.499625,77.389075,2.3,-29.7,5.75,2.26,Negativno,Ne
4,18.493709,77.418241,14.5,-48.5,6.34,3.76,Pozitivno,Ne
5,18.483181,77.379462,6.1,-29.5,5.95,4.68,Negativno,Ne
6,18.48196,77.373217,13.0,-50.4,7.06,2.02,Negativno,Ne
7,18.48062,77.371896,3.7,-75.8,7.59,1.27,Negativno,Ne
8,18.504713,77.378809,2.1,-57.4,6.65,2.46,Negativno,Ne
9,18.479334,77.39253,11.8,-37.6,6.14,5.96,Negativno,Da
10,18.474384,77.394665,9.9,-26.7,7.15,4.48,Negativno,Ne
11,18.503261,77.387981,4.0,-55.3,7.61,0.51,Negativno,Ne
12,18.468614,77.401392,7.5,-65.3,6.58,2.44,Negativno,Ne
13,18.473251,77.376501,13.7,-45.9,7.36,4.13,Negativno,Ne
14,18.49959,77.387756,3.4,-59.0,7.36,5.6,Negativno,Ne
15,18.461448,77.3943,2.1,-52.9,6.57,2.9,Negativno,Ne
16,18.477394,77.384324,13.9,-44.4,6.11,2.42,Negativno,Ne
17,18.477343,77.380157,13.8,-57.1,7.08,4.39,Negativno,Da
19,18.466036,77.398849,13.5,-51.2,6.55,3.09,Negativno,Ne
20,18.490706,77.39561,6.1,-57.0,6.95,1.35,Negativno,Ne
21,18.476995,77.386795,7.9,-42.1,7.04,5.62,Negativno,Ne
22,18.475285,77.391701,11.5,-23.1,6.82,0.69,Negativno,Ne
23,18.480308,77.383632,4.9,-53.6,7.21,3.43,Negativno,Ne
24,18.481588,77.400203,14.0,-38.4,7.5,2.03,Negativno,Ne
25,18.462207,77.368895,5.6,-35.7,7.22,1.58,Pozitivno,Ne
26,18.484271,77.390249,9.9,-85.1,7.26,4.47,Negativno,Ne
27,18.466982,77.378786,7.0,-64.7,6.23,5.1,Negativno,Ne
28,18.488833,77.388884,9.3,-36.8,6.6,4.96,Negativno,Ne
29,18.474427,77.379746,7.2,-78.5,6.53,2.8,Negativno,Ne
30,18.479968,77.386956,10.0,-70.2,7.54,0.31,Negativno,Ne
31,18.494792,77.405508,6.5,-60.4,7.31,5.62,Negativno,Da
32,18.476944,77.419447,9.3,-43.2,7.0,1.85,Negativno,Da
33,18.480479,77.390073,2.4,-53.0,7.6,2.9,Negativno,Ne
34,18.483279,77.39906,1.8,-59.9,6.96,3.17,Pozitivno,Ne
35,18.477724,77.391143,4.1,-40.7,6.36,4.57,Negativno,Ne
36,18.472474,77.385908,11.0,-34.6,7.71,5.22,Negativno,Ne
37,18.458105,77.402696,0.1,-63.3,5.99,3.18,Negativno,Ne
38,18.477992,77.383028,3.0,-36.0,7.17,0.78,Negativno,Ne
39,18.484249,77.396853,3.3,-34.6,7.31,1.43,Negativno,Ne
40,18.482572,77.384571,8.4,-40.0,6.12,5.21,Pozitivno,Ne
41,18.48154,77.393268,6.7,-41.7,7.5,3.83,Negativno,Ne
42,18.471823,77.379524,1.2,-37.1,6.85,3.46,Pozitivno,Ne
43,18.489994,77.399267,3.0,-39.6,6.63,0.42,Negativno,Ne
44,18.475879,77.388742,13.3,-27.2,7.1,0.14,Negativno,Ne
45,18.471174,77.382412,8.2,-15.4,7.26,8.89751080499537,Pozitivno,Da
46,18.49043,77.399066,13.9,-40.3,7.34,5.4,Negativno,Ne
47,18.487655,77.375525,6.6,-63.1,7.19,0.3,Negativno,Ne
48,18.481233,77.399122,14.5,-27.9,6.96,3.09,Negativno,Ne
49,18.478908,77.388536,8.4,-67.0,6.88,3.76,Negativno,Ne
50,18.478962,77.373462,9.9,-58.4,6.3,1.33,Negativno,Ne
51,18.479742,77.403104,7.5,-47.2,7.16,4.92,Negativno,Ne
52,18.494763,77.381105,13.5,-21.9,6.76,0.24,Negativno,Ne
53,18.486426,77.390715,10.9,-58.8,7.22,4.84,Negativno,Ne
54,18.47663,77.402624,7.4,-40.2,6.85,0.24,Negativno,Ne
55,18.468511,77.40096,0.3,-31.1,6.35,3.41,Negativno,Ne
56,18.484543,77.393764,6.9,-41.3,6.85,5.86,Negativno,Ne
57,18.487695,77.397018,12.1,-34.3,6.8,3.72,Negativno,Ne
58,18.470456,77.397592,10.5,-35.9,6.22,4.85,Negativno,Ne
59,18.483213,77.394137,9.9,-56.3,6.85,2.83,Negativno,Ne
60,18.483756,77.373464,11.8,-60.7,6.99,1.52,Negativno,Ne
61,18.478191,77.414962,7.1,-69.6,7.11,2.36,Negativno,Ne
62,18.474323,77.384784,4.7,-75.3,6.63,1.57,Negativno,Ne
63,18.486653,77.386206,3.9,-36.4,6.85,0.24,Negativno,Ne
64,18.497402,77.400047,6.1,-47.7,6.99,4.89,Negativno,Ne
65,18.484477,77.385191,5.1,-42.8,6.94,3.77,Negativno,Ne
